section,cluster_name,count,section_total,proportion
A 21st Century Curriculum,Student Life & Support,5,5,1.0
Academic Advising,Academic Procedures,3,5,0.6
Academic Advising,Student Life & Support,2,5,0.4
Academic Integrity,Academic Procedures — Topic 2,4,6,0.6666666666666666
Academic Integrity,Student Life & Support,2,6,0.3333333333333333
Academic Recognition and Honors,Academic Procedures — Topic 2,6,8,0.75
Academic Recognition and Honors,Student Life & Support,2,8,0.25
Academic Resource Center,Academic Procedures,3,4,0.75
Academic Resource Center,Academic Procedures — Topic 2,1,4,0.25
"Academic Warning, Probation, and Suspension for Students in the Class of 2025 and Beyond",Academic Procedures — Topic 2,10,10,1.0
"Academic Warning, Probation, and Suspension for Students in the Classes of 2022-2024",Academic Procedures — Topic 2,12,12,1.0
Accommodations,Academic Procedures — Topic 2,3,3,1.0
Animating Principles,Academic Procedures,3,4,0.75
Animating Principles,Student Life & Support,1,4,0.25
Application Requirements,Academic Procedures,1,4,0.25
Application Requirements,Academic Procedures — Topic 2,1,4,0.25
Application Requirements,Majors & Courses — Topic 2,1,4,0.25
Application Requirements,Student Life & Support,1,4,0.25
Application Timelines,Academic Procedures — Topic 2,2,4,0.5
Application Timelines,Majors & Courses — Topic 2,1,4,0.25
Application Timelines,Student Life & Support,1,4,0.25
Arts and Culture,Academic Procedures,1,2,0.5
Arts and Culture,Student Life & Support,1,2,0.5
Athletics & University Sports,Academic Procedures,1,3,0.3333333333333333
Athletics & University Sports,Student Life & Support,2,3,0.6666666666666666
Blue Oasis Student Center,Academic Procedures,1,1,1.0
Campus Engagement,Academic Procedures,1,1,1.0
Campus Health Clinic,Academic Procedures,2,3,0.6666666666666666
Campus Health Clinic,Academic Procedures — Topic 2,1,3,0.3333333333333333
Campus Programs,Academic Procedures,1,3,0.3333333333333333
Campus Programs,Student Life & Support,2,3,0.6666666666666666
Career Services,Academic Procedures,1,6,0.16666666666666666
Career Services,Academic Procedures — Topic 2,1,6,0.16666666666666666
Career Services,Majors & Courses — Topic 2,1,6,0.16666666666666666
Career Services,Student Life & Support,3,6,0.5
Changes in Status,Academic Procedures — Topic 2,11,16,0.6875
Changes in Status,Student Life & Support,5,16,0.3125
Chinese Student Services and Student Mobility,Majors & Courses — Topic 2,2,2,1.0
Class Attendance and Missed Work,Academic Procedures — Topic 2,3,3,1.0
Class Scheduling,Academic Procedures — Topic 2,1,1,1.0
Compliance with Academic Regulations,Student Life & Support,1,1,1.0
Counseling and Psychological Services (CAPS),Student Life & Support,2,2,1.0
Course Audit,Academic Procedures — Topic 2,1,2,0.5
Course Audit,Student Life & Support,1,2,0.5
Course Descriptions,Academic Procedures,117,763,0.15334207077326342
Course Descriptions,Academic Procedures — Topic 2,19,763,0.02490170380078637
Course Descriptions,Curriculum & Degree Requirements,164,763,0.21494102228047182
Course Descriptions,Majors & Courses,166,763,0.21756225425950196
Course Descriptions,Majors & Courses — Topic 2,92,763,0.12057667103538663
Course Descriptions,Majors & Courses — Topic 3,134,763,0.17562254259501967
Course Descriptions,Majors & Courses — Topic 4,68,763,0.0891218872870249
Course Descriptions,Student Life & Support,3,763,0.003931847968545216
Course Repeat,Academic Procedures — Topic 2,4,7,0.5714285714285714
Course Repeat,Student Life & Support,3,7,0.42857142857142855
Declaration of Major,Academic Procedures — Topic 2,1,3,0.3333333333333333
Declaration of Major,Student Life & Support,2,3,0.6666666666666666
Degree Requirements,Academic Procedures,8,21,0.38095238095238093
Degree Requirements,Academic Procedures — Topic 2,4,21,0.19047619047619047
Degree Requirements,Majors & Courses — Topic 2,5,21,0.23809523809523808
Degree Requirements,Majors & Courses — Topic 3,2,21,0.09523809523809523
Degree Requirements,Student Life & Support,2,21,0.09523809523809523
Duke Kunshan University Community Standard,Academic Procedures,1,2,0.5
Duke Kunshan University Community Standard,Student Life & Support,1,2,0.5
Education Records,Student Life & Support,3,3,1.0
Eligibility for Courses,Academic Procedures — Topic 2,2,4,0.5
Eligibility for Courses,Majors & Courses — Topic 2,1,4,0.25
Eligibility for Courses,Student Life & Support,1,4,0.25
Entrance Credit and Placement,Academic Procedures — Topic 2,1,16,0.0625
Entrance Credit and Placement,Majors & Courses — Topic 2,4,16,0.25
Entrance Credit and Placement,Student Life & Support,11,16,0.6875
Estimated Expenses,Academic Procedures — Topic 2,8,13,0.6153846153846154
Estimated Expenses,Majors & Courses — Topic 2,4,13,0.3076923076923077
Estimated Expenses,Student Life & Support,1,13,0.07692307692307693
Exclusion of Disruptive Students from a Course,Academic Procedures — Topic 2,2,2,1.0
Final Examinations,Academic Procedures — Topic 2,4,4,1.0
Grade Review Procedure,Academic Procedures — Topic 2,6,7,0.8571428571428571
Grade Review Procedure,Student Life & Support,1,7,0.14285714285714285
Grading and Grade Requirements,Academic Procedures — Topic 2,16,27,0.5925925925925926
Grading and Grade Requirements,Majors & Courses — Topic 2,3,27,0.1111111111111111
Grading and Grade Requirements,Student Life & Support,8,27,0.2962962962962963
Graduation and Commencement,Academic Procedures — Topic 2,1,1,1.0
Host Family Program,Student Life & Support,1,1,1.0
How to Apply,Student Life & Support,1,1,1.0
Incomplete Coursework and Excused Absence from Final Exam,Academic Procedures — Topic 2,5,5,1.0
Independent Studies,Academic Procedures,2,4,0.5
Independent Studies,Academic Procedures — Topic 2,2,4,0.5
International Student Services,Student Life & Support,1,1,1.0
Key Components,Academic Procedures,2,8,0.25
Key Components,Academic Procedures — Topic 2,1,8,0.125
Key Components,Majors & Courses — Topic 2,2,8,0.25
Key Components,Student Life & Support,3,8,0.375
Leadership Development,Academic Procedures,2,2,1.0
Majors (listed in alphabetical order),Academic Procedures,24,297,0.08080808080808081
Majors (listed in alphabetical order),Academic Procedures — Topic 2,6,297,0.020202020202020204
Majors (listed in alphabetical order),Curriculum & Degree Requirements,103,297,0.3468013468013468
Majors (listed in alphabetical order),Majors & Courses,58,297,0.19528619528619529
Majors (listed in alphabetical order),Majors & Courses — Topic 2,2,297,0.006734006734006734
Majors (listed in alphabetical order),Majors & Courses — Topic 3,58,297,0.19528619528619529
Majors (listed in alphabetical order),Majors & Courses — Topic 4,46,297,0.15488215488215487
Mission Statement,Academic Procedures,1,2,0.5
Mission Statement,Student Life & Support,1,2,0.5
Notification and Responses,Academic Procedures — Topic 2,1,1,1.0
Notification of Intention to Graduate,Academic Procedures — Topic 2,1,2,0.5
Notification of Intention to Graduate,Student Life & Support,1,2,0.5
Office of Global Education and Study Away,Academic Procedures — Topic 2,2,19,0.10526315789473684
Office of Global Education and Study Away,Majors & Courses — Topic 2,2,19,0.10526315789473684
Office of Global Education and Study Away,Student Life & Support,15,19,0.7894736842105263
Overview,Academic Procedures,5,7,0.7142857142857143
Overview,Student Life & Support,2,7,0.2857142857142857
Part 11: Academic Calendar 2021-22,Academic Procedures — Topic 2,12,13,0.9230769230769231
Part 11: Academic Calendar 2021-22,Majors & Courses — Topic 3,1,13,0.07692307692307693
Part 12: Useful Contacts,Student Life & Support,1,1,1.0
Part 1: General Information,Curriculum & Degree Requirements,1,2,0.5
Part 1: General Information,Student Life & Support,1,2,0.5
Part 7: Academic Advising and Support,Academic Procedures,1,1,1.0
Partners,Majors & Courses,1,7,0.14285714285714285
Partners,Majors & Courses — Topic 2,1,7,0.14285714285714285
Partners,Student Life & Support,5,7,0.7142857142857143
Principles of Selection,Student Life & Support,2,2,1.0
Procedure for Resolution of Students' Academic Concerns,Academic Procedures — Topic 2,4,5,0.8
Procedure for Resolution of Students' Academic Concerns,Student Life & Support,1,5,0.2
Progress toward Degree,Academic Procedures — Topic 2,6,8,0.75
Progress toward Degree,Student Life & Support,2,8,0.25
Refund,Academic Procedures — Topic 2,5,5,1.0
Registration,Academic Procedures — Topic 2,6,8,0.75
Registration,Majors & Courses — Topic 2,1,8,0.125
Registration,Student Life & Support,1,8,0.125
Religious Holidays,Academic Procedures — Topic 2,1,2,0.5
Religious Holidays,Student Life & Support,1,2,0.5
Requirements for All Majors,Academic Procedures,2,7,0.2857142857142857
Requirements for All Majors,Academic Procedures — Topic 2,2,7,0.2857142857142857
Requirements for All Majors,Majors & Courses,1,7,0.14285714285714285
Requirements for All Majors,Majors & Courses — Topic 2,1,7,0.14285714285714285
Requirements for All Majors,Majors & Courses — Topic 3,1,7,0.14285714285714285
Residence Life,Academic Procedures,1,2,0.5
Residence Life,Student Life & Support,1,2,0.5
Scholarships and Financial Aid,Academic Procedures — Topic 2,1,3,0.3333333333333333
Scholarships and Financial Aid,Student Life & Support,2,3,0.6666666666666666
Seven Principles of Duke Kunshan University Academic Advising,Academic Procedures,3,3,1.0
Statement on Diversity and Inclusion,Academic Procedures,1,2,0.5
Statement on Diversity and Inclusion,Student Life & Support,1,2,0.5
Student Affairs,Academic Procedures,1,1,1.0
Student Affairs Conceptual Framework,Academic Procedures,1,2,0.5
Student Affairs Conceptual Framework,Student Life & Support,1,2,0.5
Student Clubs and Organizations,Student Life & Support,2,2,1.0
Student Conduct,Academic Procedures,1,2,0.5
Student Conduct,Student Life & Support,1,2,0.5
Student Research Opportunities,Student Life & Support,2,2,1.0
Submission of Term Paper,Academic Procedures — Topic 2,1,1,1.0
The Provision of Academic Information to Parents and Guardians,Academic Procedures — Topic 2,1,1,1.0
Time Limit for Completing Undergraduate Degree,Student Life & Support,1,1,1.0
Transfer of Work Taken Elsewhere,Student Life & Support,11,11,1.0
Tuition and Fees,Academic Procedures — Topic 2,1,2,0.5
Tuition and Fees,Majors & Courses — Topic 2,1,2,0.5
Two-Credit Writing Courses,Academic Procedures,1,2,0.5
Two-Credit Writing Courses,Majors & Courses — Topic 2,1,2,0.5
Undergraduate Course Load,Academic Procedures — Topic 2,18,20,0.9
Undergraduate Course Load,Student Life & Support,2,20,0.1
Undergraduate Signature Work,Academic Procedures,3,16,0.1875
Undergraduate Signature Work,Academic Procedures — Topic 2,2,16,0.125
Undergraduate Signature Work,Majors & Courses — Topic 2,4,16,0.25
Undergraduate Signature Work,Student Life & Support,7,16,0.4375
Who We Are,Majors & Courses — Topic 2,1,7,0.14285714285714285
Who We Are,Student Life & Support,6,7,0.8571428571428571
