section,passage_count,topic_count,entropy,normalized_entropy
Duke Kunshan University Community Standard,2,2,1.0,1.0
Arts and Culture,2,2,1.0,1.0
Statement on Diversity and Inclusion,2,2,1.0,1.0
Independent Studies,4,2,1.0,1.0
Course Audit,2,2,1.0,1.0
Student Conduct,2,2,1.0,1.0
Residence Life,2,2,1.0,1.0
Mission Statement,2,2,1.0,1.0
Tuition and Fees,2,2,1.0,1.0
Student Affairs Conceptual Framework,2,2,1.0,1.0
Notification of Intention to Graduate,2,2,1.0,1.0
Religious Holidays,2,2,1.0,1.0
Two-Credit Writing Courses,2,2,1.0,1.0
Part 1: General Information,2,2,1.0,1.0
Application Requirements,4,4,2.0,1.0
Course Repeat,7,2,0.9852281360342515,0.9852281360342515
Academic Advising,5,2,0.9709505944546686,0.9709505944546686
Requirements for All Majors,7,5,2.2359263506290326,0.9629610647945144
Key Components,8,4,1.9056390622295665,0.9528195311147832
Eligibility for Courses,4,3,1.5,0.9463946303571862
Application Timelines,4,3,1.5,0.9463946303571862
Undergraduate Signature Work,16,4,1.8496017527145812,0.9248008763572906
Declaration of Major,3,2,0.9182958340544896,0.9182958340544896
Campus Programs,3,2,0.9182958340544896,0.9182958340544896
Campus Health Clinic,3,2,0.9182958340544896,0.9182958340544896
Athletics & University Sports,3,2,0.9182958340544896,0.9182958340544896
Scholarships and Financial Aid,3,2,0.9182958340544896,0.9182958340544896
Academic Integrity,6,2,0.9182958340544896,0.9182958340544896
Degree Requirements,21,5,2.125191685900817,0.9152702405299554
Career Services,6,4,1.7924812503605778,0.8962406251802889
Changes in Status,16,2,0.8960382325345574,0.8960382325345574
Course Descriptions,763,8,2.6539607651917847,0.8846535883972616
Overview,7,2,0.863120568566631,0.863120568566631
Grading and Grade Requirements,27,3,1.3195212983796363,0.8325252476189535
Majors (listed in alphabetical order),297,7,2.322507421356567,0.8272938355989287
Progress toward Degree,8,2,0.8112781244591328,0.8112781244591328
Animating Principles,4,2,0.8112781244591328,0.8112781244591328
Academic Recognition and Honors,8,2,0.8112781244591328,0.8112781244591328
Academic Resource Center,4,2,0.8112781244591328,0.8112781244591328
Estimated Expenses,13,3,1.2389012566026305,0.7816596645276667
Partners,7,3,1.1488348542809166,0.72483409150576
Procedure for Resolution of Students' Academic Concerns,5,2,0.7219280948873623,0.7219280948873623
Entrance Credit and Placement,16,3,1.1216407621868583,0.7076765296822563
Registration,8,3,1.061278124459133,0.6695919455357793
Office of Global Education and Study Away,19,3,0.9530138853315971,0.6012848158224419
Grade Review Procedure,7,2,0.5916727785823275,0.5916727785823275
Who We Are,7,2,0.5916727785823275,0.5916727785823275
Undergraduate Course Load,20,2,0.4689955935892812,0.4689955935892812
Part 11: Academic Calendar 2021-22,13,2,0.39124356362925566,0.39124356362925566
Student Affairs,1,1,-0.0,0.0
Time Limit for Completing Undergraduate Degree,1,1,-0.0,0.0
The Provision of Academic Information to Parents and Guardians,1,1,-0.0,0.0
Submission of Term Paper,1,1,-0.0,0.0
Student Research Opportunities,2,1,-0.0,0.0
Student Clubs and Organizations,2,1,-0.0,0.0
Refund,5,1,-0.0,0.0
Seven Principles of Duke Kunshan University Academic Advising,3,1,-0.0,0.0
Transfer of Work Taken Elsewhere,11,1,-0.0,0.0
A 21st Century Curriculum,5,1,-0.0,0.0
Principles of Selection,2,1,-0.0,0.0
Counseling and Psychological Services (CAPS),2,1,-0.0,0.0
"Academic Warning, Probation, and Suspension for Students in the Class of 2025 and Beyond",10,1,-0.0,0.0
"Academic Warning, Probation, and Suspension for Students in the Classes of 2022-2024",12,1,-0.0,0.0
Accommodations,3,1,-0.0,0.0
Blue Oasis Student Center,1,1,-0.0,0.0
Campus Engagement,1,1,-0.0,0.0
Chinese Student Services and Student Mobility,2,1,-0.0,0.0
Class Attendance and Missed Work,3,1,-0.0,0.0
Class Scheduling,1,1,-0.0,0.0
Compliance with Academic Regulations,1,1,-0.0,0.0
Education Records,3,1,-0.0,0.0
Part 7: Academic Advising and Support,1,1,-0.0,0.0
Exclusion of Disruptive Students from a Course,2,1,-0.0,0.0
Final Examinations,4,1,-0.0,0.0
Graduation and Commencement,1,1,-0.0,0.0
Host Family Program,1,1,-0.0,0.0
How to Apply,1,1,-0.0,0.0
International Student Services,1,1,-0.0,0.0
Leadership Development,2,1,-0.0,0.0
Notification and Responses,1,1,-0.0,0.0
Part 12: Useful Contacts,1,1,-0.0,0.0
Incomplete Coursework and Excused Absence from Final Exam,5,1,-0.0,0.0
